statistics_code,jahr,1_variable_code,2_variable_code,ICD-2,anzahl
23131,2019,DINSG,ICD10B,ICD10-S00-S09,421060
23131,2018,DINSG,ICD10B,ICD10-Z80-Z99,7515
23131,2021,DINSG,ICD10B,ICD10-R50-R69,206593
23131,2022,DINSG,ICD10B,ICD10-N60-N64,18901
23131,2018,DINSG,ICD10B,ICD10-M86-M90,31018
23131,2017,DINSG,ICD10B,ICD10-O60-O75,344978
23131,2021,DINSG,ICD10B,ICD10-N00-N08,7218
23131,2022,DINSG,ICD10B,ICD10-N99-N99,10050
23131,2015,DINSG,ICD10B,ICD10-T33-T35,157
23131,2014,DINSG,ICD10B,ICD10-H49-H52,14776
23131,2016,DINSG,ICD10B,ICD10-F60-F69,40292
23131,2021,DINSG,ICD10B,ICD10-N20-N23,111451
23131,2017,DINSG,ICD10B,ICD10-G20-G26,66149
23131,2014,DINSG,ICD10B,ICD10-D37-D48,95695
23131,2023,DINSG,ICD10B,ICD10-F60-F69,44124
23131,2017,DINSG,ICD10B,ICD10-F40-F48,163742
23131,2018,DINSG,ICD10B,ICD10-P00-P04,4316
23131,2021,DINSG,ICD10B,ICD10-S10-S19,24978
23131,2016,DINSG,ICD10B,ICD10-T36-T50,24189
23131,2015,DINSG,ICD10B,ICD10-R30-R39,37677
23131,2016,DINSG,ICD10B,ICD10-G40-G47,453692
23131,2023,DINSG,ICD10B,ICD10-Q00-Q07,2867
23131,2021,DINSG,ICD10B,ICD10-G70-G73,9370
23131,2019,DINSG,ICD10B,ICD10-L80-L99,47338
23131,2015,DINSG,ICD10B,ICD10-P90-P96,12331
23131,2019,DINSG,ICD10B,ICD10-U80-U85,-
23131,2016,DINSG,ICD10B,ICD10-M15-M19,419089
23131,2016,DINSG,ICD10B,ICD10-B35-B49,10558
23131,2020,DINSG,ICD10B,ICD10-D00-D09,30081
23131,2018,DINSG,ICD10B,ICD10-M50-M54,392220
23131,2018,DINSG,ICD10B,ICD10-B25-B34,26431
23131,2018,DINSG,ICD10B,ICD10-P75-P78,884
23131,2021,DINSG,ICD10B,ICD10-N80-N98,154329
23131,2014,DINSG,ICD10B,ICD10-K00-K14,75533
23131,2019,DINSG,ICD10B,ICD10-R90-R94,16379
23131,2022,DINSG,ICD10B,ICD10-G60-G64,34415
23131,2016,DINSG,ICD10B,ICD10-H15-H22,23098
23131,2016,DINSG,ICD10B,ICD10-S80-S89,227219
